ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
IGLV1-47	immunoglobulin lambda variable 1-47(IGLV1-47)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,GO:0072562~blood microparticle,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-0873~Pyrrolidone carboxylic acid,KW-1015~Disulfide bond,	DOMAIN:Ig-like,
IGLV2-23	immunoglobulin lambda variable 2-23(IGLV2-23)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-0873~Pyrrolidone carboxylic acid,KW-1015~Disulfide bond,	COMPBIAS:Polar residues,DOMAIN:Ig-like,REGION:Disordered,
IGLV2-8	immunoglobulin lambda variable 2-8(IGLV2-8)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-0873~Pyrrolidone carboxylic acid,KW-1015~Disulfide bond,	COMPBIAS:Polar residues,DOMAIN:Ig-like,REGION:Disordered,
IGLV3-21	immunoglobulin lambda variable 3-21(IGLV3-21)	Homo sapiens	GO:0002250~adaptive immune response,GO:0002377~immunoglobulin production,GO:0006955~immune response,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0019814~immunoglobulin complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0003823~antigen binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,				SM00406:IGv,SM00409:IG,	KW-0391~Immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0964~Secreted,KW-1003~Cell membrane,KW-1280~Immunoglobulin,		KW-0393~Immunoglobulin domain,KW-0732~Signal,			KW-1015~Disulfide bond,	DOMAIN:Ig-like,
IGSF1	immunoglobulin superfamily member 1(IGSF1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0032926~negative regulation of activin receptor signaling pathway,	GO:0005576~extracellular region,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0015026~coreceptor activity,GO:0034711~inhibin binding,GO:0038102~activin receptor antagonist activity,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,	hsa04350:TGF-beta signaling pathway,	300888~Hypothyroidism, central, and testicular enlargement,		SM00408:IGc2,SM00409:IG,		KW-0472~Membrane,KW-0964~Secreted,	KW-0225~Disease variant,KW-0984~Congenital hypothyroidism,	KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0675~Receptor,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type 1,DOMAIN:Ig-like C2-type 10,DOMAIN:Ig-like C2-type 11,DOMAIN:Ig-like C2-type 12,DOMAIN:Ig-like C2-type 2,DOMAIN:Ig-like C2-type 3,DOMAIN:Ig-like C2-type 4,DOMAIN:Ig-like C2-type 5,DOMAIN:Ig-like C2-type 6,DOMAIN:Ig-like C2-type 7,DOMAIN:Ig-like C2-type 8,DOMAIN:Ig-like C2-type 9,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ID3	inhibitor of DNA binding 3(ID3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001656~metanephros development,GO:0006275~regulation of DNA replication,GO:0007275~multicellular organism development,GO:0007417~central nervous system development,GO:0007507~heart development,GO:0007517~muscle organ development,GO:0009611~response to wounding,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0030154~cell differentiation,GO:0030182~neuron differentiation,GO:0030855~epithelial cell differentiation,GO:0030903~notochord development,GO:0032922~circadian regulation of gene expression,GO:0042476~odontogenesis,GO:0043065~positive regulation of apoptotic process,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045662~negative regulation of myoblast differentiation,GO:0045668~negative regulation of osteoblast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0051726~regulation of cell cycle,GO:0072750~cellular response to leptomycin B,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0043425~bHLH transcription factor binding,GO:0046983~protein dimerization activity,GO:1901707~leptomycin B binding,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,IPR026052:DNA-binding protein inhibitor,	hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,			SM00353:HLH,	KW-0090~Biological rhythms,KW-0517~Myogenesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0678~Repressor,		DOMAIN:BHLH,DOMAIN:bHLH,
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)	Homo sapiens	GO:0001817~regulation of cytokine production,GO:0007399~nervous system development,GO:0009653~anatomical structure morphogenesis,GO:0010468~regulation of gene expression,GO:0017148~negative regulation of translation,GO:0051028~mRNA transport,GO:0051252~regulation of RNA metabolic process,GO:0070934~CRD-mediated mRNA stabilization,	GO:0000932~P-body,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0010494~cytoplasmic stress granule,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0003730~mRNA 3'-UTR binding,GO:0005515~protein binding,GO:0045182~translation regulator activity,GO:0048027~mRNA 5'-UTR binding,GO:1990247~N6-methyladenosine-containing RNA binding,	IPR000504:RNA recognition motif domain,IPR004087:K Homology domain,IPR004088:K Homology domain, type 1,IPR012677:Nucleotide-binding, alpha-beta plait,		125853~Diabetes mellitus, noninsulin-dependent, susceptibility to,		SM00322:KH,SM00360:RRM,	KW-0509~mRNA transport,KW-0810~Translation regulation,KW-0813~Transport,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,		KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:KH,DOMAIN:KH 1,DOMAIN:KH 2,DOMAIN:KH 3,DOMAIN:KH 4,DOMAIN:RRM,DOMAIN:RRM 1,DOMAIN:RRM 2,MUTAGEN:K->E: Significantly impaired binding to ACTB transcript but little effect on MYC transcript binding, accumulation in the nucleus and partial reduction in interaction with m6A-modified mRNA; when associated with E-211. Loss of homo- and heterooligomerization with IGF2BP1 and IGF2BP2, almost complete loss of ACTB and MYC transcript binding, almost complete loss of ELAVL1-, DHX9- and HNRNPU-binding and perturbed subcellular location, including accumulation in the nucleus and loss of localization to stress granules; when associated with E-211; 445-E-E-445 and 526-E-E-527.,MUTAGEN:K->E: Significantly impaired binding to ACTB transcript but little effect on MYC transcript binding, accumulation in the nucleus and partial reduction in interaction with m6A-modified mRNA; when associated with E-292. Loss of homo- and heterooligomerization with IGF2BP1 and IGF2BP2, almost complete loss of ACTB and MYC transcript binding, almost complete loss of ELAVL1-, DHX9- and HNRNPU-binding and perturbed subcellular location, including accumulation in the nucleus and loss of localization to stress granules; when associated with E-292; 445-E-E-446 and 526-E-E-527.,MUTAGEN:KG->EE: Significantly impaired binding to ACTB and MYC transcripts and loss of interaction with m6A-modified mRNA; when associated with 445-E-E-446. Loss of homo- and heterooligomerization with IGF2BP1 and IGF2BP2, almost complete loss of ACTB and MYC transcript binding, almost complete loss of ELAVL1-, DHX9- and HNRNPU-binding and perturbed subcellular location, including accumulation in the nucleus and loss of localization to stress granules; when associated with E-211; E-292 and 445-E-E-446.,MUTAGEN:KK->EE: Significantly impaired binding to ACTB and MYC transcripts and loss of interaction with m6A-modified mRNA; when associated with 527-E-E-528. Loss of homo- and heterooligomerization with IGF2BP1 and IGF2BP2, almost complete loss of ACTB and MYC transcript binding, almost complete loss of ELAVL1-, DHX9- and HNRNPU-binding and perturbed subcellular location, including accumulation in the nucleus and loss of localization to stress granules; when associated with E-211; E-292 and 527-E-E-528.,REGION:Disordered,
IGFBP2	insulin like growth factor binding protein 2(IGFBP2)	Homo sapiens	GO:0007165~signal transduction,GO:0007565~female pregnancy,GO:0007568~aging,GO:0007584~response to nutrient,GO:0009410~response to xenobiotic stimulus,GO:0009612~response to mechanical stimulus,GO:0010226~response to lithium ion,GO:0032355~response to estradiol,GO:0032526~response to retinoic acid,GO:0032868~response to insulin,GO:0032870~cellular response to hormone stimulus,GO:0040008~regulation of growth,GO:0042104~positive regulation of activated T cell proliferation,GO:0042493~response to drug,GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,GO:0043627~response to estrogen,GO:0051384~response to glucocorticoid,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016324~apical plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0070062~extracellular exosome,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005520~insulin-like growth factor binding,GO:0031994~insulin-like growth factor I binding,GO:0031995~insulin-like growth factor II binding,	IPR000716:Thyroglobulin type-1,IPR000867:Insulin-like growth factor-binding protein, IGFBP,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR012210:Insulin-like growth factor binding protein 2,IPR017891:Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site,IPR022321:Insulin-like growth factor-binding protein family 1-6, chordata,				SM00121:IB,SM00211:TY,	KW-0341~Growth regulation,	KW-0964~Secreted,		KW-0732~Signal,		KW-0340~Growth factor binding,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	COMPBIAS:Basic and acidic residues,DOMAIN:IGFBP N-terminal,DOMAIN:Thyroglobulin type-1,MOTIF:Cell attachment site,MUTAGEN:D->E: Does not disrupt growth-inhibiting activity.,MUTAGEN:KKLR->NNLA: Does not disrupt growth-inhibiting activity.,REGION:Disordered,
IGFBP3	insulin like growth factor binding protein 3(IGFBP3)	Homo sapiens	GO:0000165~MAPK cascade,GO:0001558~regulation of cell growth,GO:0001649~osteoblast differentiation,GO:0001933~negative regulation of protein phosphorylation,GO:0006468~protein phosphorylation,GO:0006915~apoptotic process,GO:0008285~negative regulation of cell proliferation,GO:0009968~negative regulation of signal transduction,GO:0010906~regulation of glucose metabolic process,GO:0014912~negative regulation of smooth muscle cell migration,GO:0043065~positive regulation of apoptotic process,GO:0043410~positive regulation of MAPK cascade,GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,GO:0044342~type B pancreatic cell proliferation,GO:0045663~positive regulation of myoblast differentiation,GO:0048662~negative regulation of smooth muscle cell proliferation,GO:0050790~regulation of catalytic activity,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005788~endoplasmic reticulum lumen,GO:0016942~insulin-like growth factor binding protein complex,GO:0042567~insulin-like growth factor ternary complex,	GO:0001968~fibronectin binding,GO:0005515~protein binding,GO:0005520~insulin-like growth factor binding,GO:0008160~protein tyrosine phosphatase activator activity,GO:0031994~insulin-like growth factor I binding,GO:0031995~insulin-like growth factor II binding,GO:0046872~metal ion binding,	IPR000716:Thyroglobulin type-1,IPR000867:Insulin-like growth factor-binding protein, IGFBP,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR012211:Insulin-like growth factor binding protein 3,IPR017891:Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site,IPR022321:Insulin-like growth factor-binding protein family 1-6, chordata,	hsa04115:p53 signaling pathway,hsa04218:Cellular senescence,hsa04935:Growth hormone synthesis, secretion and action,hsa05202:Transcriptional misregulation in cancer,			SM00121:IB,SM00211:TY,	KW-0053~Apoptosis,	KW-0964~Secreted,		KW-0732~Signal,		KW-0340~Growth factor binding,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) (complex) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:IGFBP N-terminal,DOMAIN:Thyroglobulin type-1,REGION:Disordered,REGION:IGF-binding,
IGFBP5	insulin like growth factor binding protein 5(IGFBP5)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0001649~osteoblast differentiation,GO:0007165~signal transduction,GO:0007565~female pregnancy,GO:0007568~aging,GO:0014912~negative regulation of smooth muscle cell migration,GO:0017148~negative regulation of translation,GO:0030336~negative regulation of cell migration,GO:0031069~hair follicle morphogenesis,GO:0035556~intracellular signal transduction,GO:0042593~glucose homeostasis,GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,GO:0043569~negative regulation of insulin-like growth factor receptor signaling pathway,GO:0044342~type B pancreatic cell proliferation,GO:0045668~negative regulation of osteoblast differentiation,GO:0045926~negative regulation of growth,GO:0048009~insulin-like growth factor receptor signaling pathway,GO:0048286~lung alveolus development,GO:0048662~negative regulation of smooth muscle cell proliferation,GO:0051146~striated muscle cell differentiation,GO:0051897~positive regulation of protein kinase B signaling,GO:0060056~mammary gland involution,GO:0060416~response to growth hormone,GO:0071320~cellular response to cAMP,GO:0071407~cellular response to organic cyclic compound,GO:1901862~negative regulation of muscle tissue development,GO:1904205~negative regulation of skeletal muscle hypertrophy,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:1904754~positive regulation of vascular associated smooth muscle cell migration,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0016942~insulin-like growth factor binding protein complex,GO:0042567~insulin-like growth factor ternary complex,	GO:0001968~fibronectin binding,GO:0005515~protein binding,GO:0005520~insulin-like growth factor binding,GO:0031994~insulin-like growth factor I binding,GO:0031995~insulin-like growth factor II binding,	IPR000716:Thyroglobulin type-1,IPR000867:Insulin-like growth factor-binding protein, IGFBP,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR012213:Insulin-like growth factor binding protein 5,IPR017891:Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site,IPR022321:Insulin-like growth factor-binding protein family 1-6, chordata,				SM00121:IB,SM00211:TY,		KW-0964~Secreted,		KW-0732~Signal,		KW-0340~Growth factor binding,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:O-linked (HexNAc...) threonine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:IGFBP N-terminal,DOMAIN:Thyroglobulin type-1,REGION:Disordered,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens	GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0008286~insulin receptor signaling pathway,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030238~male sex determination,GO:0031532~actin cytoskeleton reorganization,GO:0033674~positive regulation of kinase activity,GO:0046777~protein autophosphorylation,GO:0071469~cellular response to alkaline pH,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005899~insulin receptor complex,GO:0030424~axon,GO:0043235~receptor complex,	GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005009~insulin-activated receptor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0043548~phosphatidylinositol 3-kinase binding,GO:0043560~insulin receptor substrate binding,	IPR000494:EGF receptor, L domain,IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR002011:Tyrosine-protein kinase, receptor class II, conserved site,IPR003961:Fibronectin, type III,IPR006211:Furin-like cysteine-rich domain,IPR006212:Furin-like repeat,IPR008266:Tyrosine-protein kinase, active site,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR011009:Protein kinase-like domain,IPR013783:Immunoglobulin-like fold,IPR016246:Tyrosine-protein kinase, insulin-like receptor,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04810:Regulation of actin cytoskeleton,hsa05215:Prostate cancer,		PIRSF000620:insulin receptor,	SM00060:FN3,SM00219:TyrKc,SM00261:FU,		KW-0472~Membrane,		KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0675~Receptor,KW-0808~Transferase,KW-0829~Tyrosine-protein kinase,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DISULFID:Interchain (between alpha and beta chains),DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,DOMAIN:Fibronectin type-III 3,DOMAIN:Furin-like,DOMAIN:Protein kinase,DOMAIN:Recep_L_domain,MUTAGEN:YY->FF: Abolishes autophosphorylation.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
